NEW RUN
50000 500000 100
16900 3596.49 -1957.27 0.299665
17000 3599.08 -1945.72 0.299873
17100 3593.98 -1934.71 0.299455
17200 3613.35 -1950.64 0.301069
17300 3604.67 -1970.03 0.300347
17400 3588.65 -1974.33 0.299012
17500 3589.95 -1943.05 0.299116
17600 3586.96 -1905.17 0.298866
17700 3600.5 -1934.15 0.299982
17800 3598.36 -1905.75 0.299818
17900 3611.47 -1924.4 0.300901
18000 3599.84 -1938.66 0.299947
18100 3604.71 -1940.44 0.300347
18200 3588.29 -1912.75 0.298968
18300 3602.09 -1907.98 0.300124
18400 3603.02 -1918.43 0.300199
18500 3589.48 -1914.56 0.299074
18600 3603.25 -1927.27 0.300228
18700 3600.44 -1948 0.299985
18800 3598.72 -1939.26 0.299845
18900 3600.92 -1954.93 0.300023
19000 3610.52 -1976.5 0.300833
19100 3605.13 -1981.7 0.30038
19200 3600.87 -1982.24 0.300021
19300 3590.02 -1941.61 0.299117
19400 3597.58 -1916.6 0.299747
19500 3600.83 -1935.7 0.300019
19600 3589.56 -1926.3 0.299077
19700 3598.25 -1910.78 0.299812
19800 3593.19 -1907.53 0.299389
19900 3590.54 -1876.4 0.299172
20000 3604.85 -1873.56 0.300349
20100 3606.85 -1891.51 0.300531
20200 3594.78 -1903.81 0.29951
20300 3595.26 -1880.71 0.299556
20400 3596.69 -1889.29 0.299681
20500 3593.23 -1892.84 0.299388
20600 3593.05 -1873.81 0.29937
20700 3603.23 -1899.59 0.300222
20800 3601.48 -1882.58 0.300068
20900 3611.6 -1897.03 0.300904
21000 3594.54 -1894.96 0.299507
21100 3596.16 -1865.08 0.299632
21200 3597.85 -1883.39 0.299771
21300 3602.37 -1892.4 0.300155
21400 3601.09 -1906.11 0.300042
21500 3595.51 -1889.84 0.299587
21600 3595.06 -1884.77 0.299529
21700 3610.41 -1884.6 0.300829
21800 3598.28 -1885.84 0.299809
21900 3603.55 -1884.5 0.300245
22000 3609.84 -1885.58 0.300776
22100 3609.6 -1900.53 0.300753
22200 3603.13 -1910.33 0.300226
22300 3594.63 -1903.1 0.299512
22400 3600.66 -1922.34 0.30001
22500 3604.19 -1919.6 0.300311
22600 3600.57 -1925.02 0.300002
22700 3600.57 -1910.35 0.299997
22800 3596.14 -1888.02 0.299631
22900 3598.27 -1885.78 0.299821
23000 3600.77 -1889.62 0.300014
23100 3605.63 -1886.19 0.300416
23200 3603.12 -1872.33 0.30021
23300 3595.53 -1873.31 0.299578
23400 3614.27 -1897.4 0.301143
23500 3601.19 -1941.34 0.30005
23600 3598.59 -1961.06 0.299835
23700 3602.1 -1967.88 0.300128
23800 3596.68 -1953.11 0.299681
23900 3588.25 -1904.98 0.298976
24000 3597.59 -1888.39 0.299748
24100 3593.74 -1886.76 0.299422
24200 3601.94 -1878.98 0.300108
24300 3604.32 -1907.27 0.300313
24400 3605.08 -1888.49 0.300379
24500 3589.42 -1864.48 0.299071
24600 3603.4 -1853.77 0.300238
24700 3603.99 -1875.07 0.300291
24800 3596.88 -1896.94 0.299696
24900 3616.37 -1918.09 0.301326
25000 3588.85 -1929.9 0.299017
25100 3603.12 -1926.07 0.300216
25200 3589.61 -1902.54 0.299097
25300 3607.59 -1916.23 0.30059
25400 3599.79 -1915.64 0.299939
25500 3598.35 -1908.29 0.299814
25600 3596.77 -1930.85 0.299673
25700 3601.06 -1963.48 0.300047
25800 3593.28 -1940.92 0.299402
25900 3593.04 -1925.89 0.299362
26000 3595.82 -1943 0.299606
26100 3589.52 -1933.59 0.299072
26200 3602.56 -1916.37 0.300165
26300 3601.42 -1906.82 0.300072
26400 3590.37 -1882.76 0.29915
26500 3608.34 -1874.31 0.300645
26600 3593.3 -1850.07 0.299395
26700 3601.53 -1856.53 0.300074
26800 3607.94 -1872.16 0.300617
26900 3603.55 -1896.68 0.300246
27000 3594.18 -1891.66 0.299464
27100 3595.79 -1891.73 0.299603
27200 3600.45 -1877.28 0.299978
27300 3604.28 -1888.97 0.300318
27400 3602.05 -1913.35 0.300125
27500 3600.75 -1918.17 0.300018
27600 3600.93 -1911.95 0.300029
27700 3596.98 -1914.73 0.299699
27800 3609.48 -1934.72 0.300747
27900 3595.27 -1925.29 0.299559
28000 3614.23 -1929.05 0.301128
28100 3593.71 -1912.29 0.299428
28200 3593.06 -1897.93 0.299376
28300 3609.2 -1910.31 0.300712
28400 3588.57 -1889.13 0.299005
28500 3602.78 -1918.37 0.300179
28600 3597.59 -1923.43 0.299748
28700 3597.72 -1921.87 0.299765
28800 3598.79 -1927.67 0.299861
28900 3598.69 -1936.29 0.299833
29000 3601.26 -1891.9 0.30005
29100 3607.39 -1865.56 0.300568
29200 3597.91 -1872.24 0.299775
29300 3608 -1884.64 0.300617
29400 3602.76 -1903.06 0.300186
29500 3595.41 -1911.35 0.299572
29600 3602.07 -1900.88 0.300125
29700 3591.98 -1858.61 0.29928
29800 3612.56 -1880.63 0.301001
29900 3600.98 -1920.91 0.300033
30000 3603.98 -1958.69 0.300281
30100 3612.23 -1980.22 0.300979
30200 3598.65 -1969.33 0.299831
30300 3606.14 -1956.27 0.300462
30400 3594.85 -1938.07 0.299521
30500 3599.03 -1927.8 0.299876
30600 3604.67 -1956.6 0.300349
30700 3591.92 -1954.6 0.29928
30800 3603.84 -1959.91 0.300264
30900 3591.84 -1953.66 0.299284
31000 3608.85 -1947.9 0.30069
31100 3603.58 -1962.61 0.300254
31200 3601.27 -1960.15 0.300063
31300 3602.94 -1961.5 0.300186
31400 3591.92 -1944.35 0.299282
31500 3592.41 -1936.71 0.299326
31600 3609.99 -1940.95 0.300788
31700 3602.15 -1975.08 0.300133
31800 3599.2 -1963 0.299884
31900 3584.67 -1921.87 0.298667
32000 3600.42 -1901.62 0.299987
32100 3610.14 -1931.1 0.300795
32200 3602.67 -1960.93 0.300179
32300 3599.09 -1975.6 0.299872
32400 3595.67 -1967.56 0.299592
32500 3600.44 -1952.83 0.29999
32600 3596.93 -1947.39 0.299695
32700 3605.54 -1927.83 0.30041
32800 3603.44 -1910.39 0.300255
32900 3606.12 -1964.09 0.300458
33000 3598.13 -1965.16 0.299798
33100 3591.89 -1955.15 0.299279
33200 3595.87 -1924.37 0.299613
33300 3602.08 -1918.87 0.300133
33400 3588.39 -1907.78 0.298983
33500 3604.6 -1921.3 0.300331
33600 3599.52 -1943.41 0.299909
33700 3592.49 -1935.13 0.299331
33800 3589.83 -1904.68 0.299107
33900 3607.18 -1904.78 0.300556
34000 3592.21 -1926.36 0.299306
34100 3584.74 -1931.01 0.298685
34200 3608.12 -1936 0.300622
34300 3592.51 -1931.82 0.29933
34400 3586.6 -1901.02 0.298834
34500 3597.38 -1894.44 0.299728
34600 3588.67 -1894.68 0.299011
34700 3593.12 -1891.22 0.299391
34800 3593.84 -1875.7 0.299444
34900 3594.35 -1878.21 0.299487
35000 3603.86 -1875.04 0.300283
35100 3597.91 -1903.2 0.299778
35200 3618.14 -1929.35 0.301461
35300 3589.05 -1910.16 0.299045
35400 3594.15 -1888.28 0.299451
35500 3604.19 -1882.36 0.300305
35600 3599.64 -1891.85 0.299917
35700 3601.86 -1887.27 0.300108
35800 3593.43 -1863.16 0.299406
35900 3606.08 -1840.53 0.300459
36000 3592.32 -1843.05 0.299312
36100 3602.43 -1861.83 0.300155
36200 3603.6 -1893.82 0.30025
36300 3606.08 -1921.85 0.30046
36400 3602.45 -1933.54 0.300157
36500 3594.7 -1938.46 0.299513
36600 3607.75 -1938.47 0.300594
36700 3595.23 -1948.55 0.299554
36800 3600.5 -1925.69 0.299997
36900 3604.45 -1906.26 0.300329
37000 3591.37 -1887.94 0.299236
37100 3599.65 -1892.15 0.299922
37200 3596.89 -1891.09 0.29969
37300 3599.57 -1905.75 0.299921
37400 3602.76 -1919.85 0.300184
37500 3597.78 -1917.8 0.299767
37600 3596.02 -1923.75 0.299625
37700 3595.15 -1919.63 0.299556
37800 3606.03 -1929.79 0.300463
37900 3591.02 -1908.75 0.299208
38000 3605.68 -1900.88 0.300424
38100 3616.03 -1906.62 0.30128
38200 3593.94 -1895.3 0.299449
38300 3584.44 -1882.32 0.298661
38400 3604.31 -1909.61 0.300308
38500 3614.38 -1909.74 0.301154
38600 3598.35 -1914.77 0.299816
38700 3598.2 -1881.45 0.299799
38800 3600.14 -1888.04 0.299961
38900 3602.98 -1883.21 0.3002
39000 3602.65 -1903.34 0.300183
39100 3596.39 -1888.45 0.299654
39200 3605.23 -1876.61 0.300393
39300 3612.02 -1895.69 0.300958
39400 3593.5 -1898.91 0.299415
39500 3600.79 -1869.46 0.300029
39600 3593.57 -1874.66 0.299417
39700 3606.46 -1895.47 0.300491
39800 3595.07 -1902.3 0.299544
39900 3606.22 -1940 0.30048
40000 3604.83 -1951.35 0.300355
40100 3602.87 -1942.22 0.300184
40200 3597.96 -1916.54 0.299781
40300 3576.37 -1890.5 0.297984
40400 3606.76 -1906.52 0.300515
40500 3609.06 -1906.27 0.300709
40600 3594.53 -1920.35 0.299489
40700 3595.51 -1922.67 0.299575
40800 3606.27 -1933.5 0.300486
40900 3605.03 -1921.43 0.300371
41000 3606.71 -1944.91 0.30053
41100 3592.54 -1921.74 0.299334
41200 3610.82 -1889.89 0.300852
41300 3598.11 -1907.68 0.299793
41400 3595.15 -1917.17 0.299555
41500 3607.33 -1926.94 0.30056
41600 3591.24 -1902.72 0.299223
41700 3585.18 -1883.95 0.298717
41800 3597.95 -1888.35 0.299782
41900 3596.12 -1883.89 0.299631
42000 3599.64 -1903.74 0.29992
42100 3603.51 -1876.59 0.300253
42200 3598.74 -1854.77 0.29985
42300 3603.13 -1890.54 0.300205
42400 3600.08 -1902.07 0.299971
42500 3589.27 -1884.72 0.299054
42600 3597.65 -1878.34 0.299749
42700 3605.91 -1884.74 0.300441
42800 3591.76 -1877.4 0.299278
42900 3602.57 -1885.63 0.300162
43000 3592.29 -1877.7 0.299306
43100 3609.63 -1895.44 0.300763
43200 3622.29 -1905.45 0.301807
43300 3611.65 -1935.22 0.300934
43400 3606.25 -1945.13 0.300473
43500 3605.9 -1955.51 0.300443
43600 3601.34 -1941.69 0.300069
43700 3597.77 -1936.86 0.299767
43800 3604.49 -1913.33 0.300317
43900 3603.57 -1899.44 0.300253
44000 3601.18 -1901.57 0.300046
44100 3594.55 -1895.2 0.299505
44200 3603.36 -1903.35 0.300223
44300 3607.17 -1936.86 0.300559
44400 3602.98 -1955.47 0.300214
44500 3593.44 -1916.48 0.299405
44600 3602.96 -1894.19 0.300188
44700 3611.66 -1898.05 0.300926
44800 3600.39 -1947.81 0.299994
44900 3587.43 -1935.28 0.298902
45000 3595 -1920.63 0.299531
45100 3602.49 -1902.54 0.300163
45200 3602.58 -1906.03 0.300167
45300 3601.01 -1904.65 0.300036
45400 3590.96 -1865.23 0.299197
45500 3601.5 -1851.49 0.300079
45600 3602.84 -1862.37 0.30019
45700 3594.9 -1881.35 0.299536
45800 3604.37 -1889.67 0.300316
45900 3600.54 -1886.9 0.300003
46000 3605.78 -1889.9 0.300439
46100 3596.21 -1874.11 0.299636
46200 3602.32 -1857.89 0.300146
46300 3607.34 -1870.87 0.300552
46400 3612.68 -1906.19 0.301014
46500 3599.73 -1938.4 0.299939
46600 3610.51 -1929.58 0.300824
46700 3604.13 -1920.26 0.300301
46800 3598.44 -1920.59 0.29983
46900 3591.14 -1897.27 0.299204
47000 3595.18 -1906.73 0.299549
47100 3589.92 -1918.5 0.299109
47200 3604.67 -1905.99 0.300344
47300 3601.73 -1887.84 0.300089
47400 3594.96 -1861.4 0.299536
47500 3604.01 -1855.95 0.300285
47600 3604.26 -1882.68 0.300303
47700 3601.39 -1914.1 0.300069
47800 3599.29 -1921.14 0.299892
47900 3600.24 -1903.54 0.29998
48000 3600.41 -1904.12 0.299994
48100 3597.46 -1900.37 0.299741
48200 3600.05 -1876.74 0.299963
48300 3597.49 -1858.98 0.299749
48400 3598.75 -1857.47 0.299844
48500 3595.39 -1873.88 0.299575
48600 3609.5 -1897.78 0.300742
48700 3599.32 -1911.29 0.29989
48800 3583.6 -1918.14 0.298587
48900 3596.8 -1894.24 0.299684
49000 3610.65 -1915.69 0.300835
49100 3601.98 -1936.94 0.300128
49200 3595.63 -1939.64 0.299586
49300 3594.12 -1928.65 0.299459
49400 3607.75 -1939.81 0.30059
49500 3602.75 -1938.33 0.300187
49600 3604.05 -1970 0.300291
49700 3604.97 -1999.91 0.300371
49800 3602.91 -1987.1 0.300198
49900 3586.9 -1955.19 0.298864
50000 3584.55 -1944.75 0.298671
50100 3591.18 -1941.97 0.299219
50200 3598.63 -1929.46 0.299824
50300 3599.95 -1928.69 0.299946
50400 3605.7 -1933.38 0.300434
50500 3612.2 -1937.39 0.300975
50600 3592.32 -1907.04 0.299319
50700 3601.07 -1902.94 0.300044
50800 3595.39 -1876.14 0.299575
50900 3591.82 -1872.12 0.299268
51000 3598.13 -1887.22 0.299797
51100 3605.28 -1918.92 0.300393
51200 3605.38 -1937.48 0.300398
51300 3598.21 -1960.51 0.299805
51400 3593.88 -1967.5 0.299449
51500 3597.66 -1945.81 0.299751
51600 3600.53 -1925.28 0.299999
51700 3603.48 -1924.17 0.300233
51800 3595.23 -1922.53 0.299561
51900 3587.14 -1916.74 0.298879
52000 3607.51 -1918.01 0.300573
52100 3599.9 -1905.27 0.299948
52200 3597.99 -1873.89 0.299795
52300 3608.36 -1872.48 0.30064
52400 3595.4 -1883.92 0.299569
52500 3603.9 -1910.35 0.300278
52600 3591.95 -1905.47 0.299279
52700 3594.64 -1892.98 0.299505
52800 3595.23 -1925.94 0.299561
52900 3601.7 -1913.5 0.300096
53000 3599.13 -1888.11 0.299881
53100 3611.33 -1894.22 0.300888
53200 3588.38 -1887.6 0.298987
53300 3603.65 -1873.92 0.300262
53400 3587.01 -1860.26 0.29887
53500 3615.43 -1878.16 0.301233
53600 3597.18 -1890.57 0.299715
53700 3598.43 -1884.61 0.299827
53800 3603 -1900.29 0.300205
53900 3592.31 -1899.78 0.299305
54000 3593.8 -1880.33 0.299432
54100 3600.97 -1879.74 0.300032
54200 3602.14 -1874.32 0.30013
54300 3612.32 -1902.33 0.300978
54400 3598.72 -1917.37 0.29985
54500 3600.27 -1909.53 0.299971
54600 3591.38 -1878.44 0.299247
54700 3606.93 -1860.04 0.300539
54800 3599.63 -1861.74 0.299929
