NEW RUN
50000 500000 100
16900 3632.86 -1916.77 0.302679
17000 3612.61 -1896.29 0.301002
17100 3605.76 -1889.81 0.300436
17200 3630.1 -1914.27 0.302469
17300 3641.24 -1925.25 0.303385
17400 3639.62 -1923.61 0.303262
17500 3633.65 -1917.37 0.302758
17600 3625.1 -1908.78 0.302047
17700 3614.89 -1898.91 0.301188
17800 3625.76 -1909.48 0.302104
17900 3638.85 -1923.34 0.303186
18000 3637.41 -1921.1 0.303074
18100 3589.23 -1913.22 0.299055
18200 3588.01 -1912.73 0.29896
18300 3611.05 -1935.83 0.300881
18400 3613.1 -1937.85 0.301043
18500 3584.02 -1908.4 0.298622
18600 3589.39 -1914.09 0.299069
18700 3597.36 -1922.12 0.299735
18800 3605.89 -1930.57 0.300456
18900 3627.12 -1951.04 0.302211
19000 3623.22 -1948.19 0.3019
19100 3612.89 -1936.98 0.301022
19200 3591.4 -1915.8 0.299236
19300 3575.85 -1900.38 0.297941
19400 3571.49 -1895.77 0.297573
19500 3562.14 -1886.68 0.296791
19600 3564.21 -1888.85 0.296967
19700 3568.82 -1893.23 0.297361
19800 3589.01 -1913.99 0.299041
19900 3584.35 -1908.44 0.298655
20000 3601.7 -1926.36 0.300088
20100 3618.66 -1943.87 0.301512
20200 3616.66 -1940.78 0.301346
20300 3606.73 -1931.13 0.300508
20400 3591.58 -1915.77 0.29924
20500 3594.63 -1919.16 0.299507
20600 3606.12 -1931.02 0.300471
20700 3641.96 -1967.19 0.303448
20800 3633.11 -1956.63 0.302709
20900 3590.65 -1915.01 0.299174
21000 3550.95 -1875.19 0.295861
21100 3600.7 -1876.78 0.300009
21200 3634.47 -1911.4 0.302832
21300 3661.93 -1937.84 0.30511
21400 3647.15 -1923.3 0.303882
21500 3645.07 -1921.07 0.303719
21600 3651.51 -1927.7 0.30424
21700 3624.54 -1900.34 0.302
21800 3606.42 -1882.56 0.300489
21900 3601.94 -1878.17 0.300115
22000 3618.96 -1895.27 0.301539
22100 3623.15 -1899.07 0.301889
22200 3600.49 -1876.37 0.299999
22300 3602.42 -1878.92 0.300163
22400 3621.02 -1897.37 0.301701
22500 3656.64 -1933.06 0.304674
22600 3660.28 -1936.43 0.304983
22700 3635.24 -1911.12 0.302899
22800 3613.3 -1889.17 0.301072
22900 3615.92 -1892.09 0.301282
23000 3634.35 -1911.07 0.302815
23100 3605.58 -1881.04 0.300421
23200 3597.75 -1874.1 0.299757
23300 3594.04 -1870.3 0.299465
23400 3614.41 -1890.81 0.30115
23500 3633.83 -1909.69 0.302763
23600 3617.83 -1894.37 0.301441
23700 3601.44 -1877.18 0.300065
23800 3615.11 -1891.4 0.30121
23900 3616.54 -1892.52 0.301331
24000 3617.46 -1894.24 0.301404
24100 3597.87 -1930.54 0.299775
24200 3602 -1934.06 0.300125
24300 3623.99 -1956.52 0.30195
24400 3628.93 -1961.39 0.302365
24500 3646.77 -1979.13 0.303852
24600 3637.86 -1970.3 0.303108
24700 3616.86 -1948.8 0.301363
24800 3575.08 -1907.04 0.297883
24900 3567.25 -1899.12 0.29722
25000 3554.78 -1887.46 0.296185
25100 3579.51 -1911.95 0.298238
25200 3559.65 -1891.55 0.296594
25300 3539.63 -1871.95 0.294919
25400 3551.12 -1883.88 0.295871
25500 3560.8 -1893.11 0.296685
25600 3556.46 -1888.66 0.296329
25700 3606.97 -1940.02 0.300521
25800 3583.03 -1914.74 0.298541
25900 3560.29 -1892.42 0.296646
26000 3571.81 -1904.88 0.297602
26100 3578.57 -1910.7 0.298178
26200 3572.22 -1904.16 0.297651
26300 3553.37 -1885.92 0.296063
26400 3568.83 -1901.05 0.297355
26500 3556.66 -1889.01 0.296341
26600 3551.9 -1884.2 0.295945
26700 3553.64 -1885.95 0.296085
26800 3546.57 -1879.04 0.295506
26900 3555.41 -1887.79 0.296231
27000 3560.51 -1893.09 0.296672
27100 3606.72 -1913.52 0.300511
27200 3594.46 -1901.71 0.299499
27300 3553.32 -1860.18 0.296068
27400 3570.38 -1877.97 0.297488
27500 3601.51 -1908.48 0.300083
27600 3585.11 -1892.16 0.298714
27700 3595.13 -1902.37 0.299546
27800 3609.52 -1916.73 0.300748
27900 3611.63 -1918.83 0.300923
28000 3635.77 -1942.87 0.302932
28100 3649.86 -1957.28 0.304123
28200 3652.61 -1959.52 0.304333
28300 3638.4 -1945.77 0.303162
28400 3656.44 -1963.58 0.304656
28500 3637.07 -1943.55 0.303042
28600 3630.58 -1937.93 0.302505
28700 3633.5 -1940.48 0.302756
28800 3609.52 -1916.29 0.300747
28900 3590.54 -1897.91 0.29917
29000 3614.29 -1921.09 0.301142
29100 3597.89 -1904.68 0.299775
29200 3584.54 -1891.57 0.298664
29300 3593.66 -1901.27 0.299425
29400 3616.41 -1923.09 0.301334
29500 3611.06 -1918.12 0.300875
29600 3583.43 -1890.56 0.298573
29700 3592.78 -1900.16 0.299354
29800 3620.08 -1927.24 0.301628
29900 3641.02 -1948.07 0.303379
30000 3627.99 -1934.72 0.302289
30100 3611.11 -1916.51 0.300887
30200 3585.11 -1890.98 0.298715
30300 3562.51 -1867.45 0.296833
30400 3555.48 -1861.2 0.29624
30500 3583.15 -1888.99 0.298554
30600 3599.52 -1905.21 0.29992
